pair_id,target_name,repository_id,granularity,source_files,source_characters,non_rag_input_tokens,rag_input_tokens,rag_overhead_tokens,non_rag_headroom,rag_headroom
echo-web-server-block-deque,block-deque,Echo-Web-Server,module_files,1,6484,1993,3341,1348,30775,29427
echo-web-server-buffer,buffer,Echo-Web-Server,module_files,2,11265,3126,4474,1348,29642,28294
echo-web-server-config,config,Echo-Web-Server,module_files,2,17998,4542,5890,1348,28226,26878
echo-web-server-heap-timer,heap-timer,Echo-Web-Server,module_files,1,13957,3693,5041,1348,29075,27727
echo-web-server-http,http,Echo-Web-Server,module_files,6,33568,8168,9516,1348,24600,23252
echo-web-server-io,io,Echo-Web-Server,module_files,2,5654,1770,3118,1348,30998,29650
echo-web-server-ip,ip,Echo-Web-Server,module_files,2,4357,1559,2907,1348,31209,29861
echo-web-server-log,log,Echo-Web-Server,module_files,7,44829,10786,12134,1348,21982,20634
echo-web-server-thread-pool,thread-pool,Echo-Web-Server,module_files,2,4392,1431,2779,1348,31337,29989
echo-web-server-util,util,Echo-Web-Server,module_files,2,12830,3446,4794,1348,29322,27974
ini-cpp-inireader,INIReader,ini-cpp,target_span,1,19478,5032,6380,1348,27736,26388
ini-cpp-iniwriter,INIWriter::write,ini-cpp,target_span,1,19478,5036,6384,1348,27732,26384
riscv-simulator-instruction,Instruction,RISCV-Simulator,module_files,1,5535,2163,3511,1348,30605,29257
riscv-simulator-memory,Memory,RISCV-Simulator,target_span,1,1613,794,2142,1348,31974,30626
riscv-simulator-parser,Parser,RISCV-Simulator,target_span,1,1418,724,2072,1348,32044,30696
riscv-simulator-register,Register,RISCV-Simulator,target_span,1,710,584,1932,1348,32184,30836
riscv-simulator-registerfile,RegisterFile,RISCV-Simulator,target_span,1,1683,873,2221,1348,31895,30547
