pair_id,pair_sequence,repository_id,group_id,expected_direct_tests,direct_test_ran,direct_test_passed,direct_test_failed,direct_test_command_pass,direct_test_count_match,direct_test_pass
echo-web-server-block-deque,1,Echo-Web-Server,g01-b2dd1495c003,4,4,4,0,True,True,True
echo-web-server-buffer,2,Echo-Web-Server,g01-b2dd1495c003,6,6,6,0,True,True,True
echo-web-server-config,3,Echo-Web-Server,g01-b2dd1495c003,10,10,10,0,True,True,True
echo-web-server-heap-timer,4,Echo-Web-Server,g01-b2dd1495c003,8,8,8,0,True,True,True
echo-web-server-http,5,Echo-Web-Server,g01-b2dd1495c003,6,6,6,0,True,True,True
echo-web-server-io,6,Echo-Web-Server,g01-b2dd1495c003,2,2,2,0,True,True,True
echo-web-server-ip,7,Echo-Web-Server,g01-b2dd1495c003,5,5,5,0,True,True,True
echo-web-server-log,8,Echo-Web-Server,g01-b2dd1495c003,7,7,7,0,True,True,True
echo-web-server-thread-pool,9,Echo-Web-Server,g01-b2dd1495c003,1,1,1,0,True,True,True
echo-web-server-util,10,Echo-Web-Server,g01-b2dd1495c003,9,9,9,0,True,True,True
ini-cpp-inireader,11,ini-cpp,g02-6947206b5680,24,24,24,0,True,True,True
ini-cpp-iniwriter,12,ini-cpp,g02-6947206b5680,3,3,3,0,True,True,True
riscv-simulator-instruction,13,RISCV-Simulator,g03-8ae9f75acde3,7,7,7,0,True,True,True
riscv-simulator-memory,14,RISCV-Simulator,g03-8ae9f75acde3,4,4,4,0,True,True,True
riscv-simulator-parser,15,RISCV-Simulator,g03-8ae9f75acde3,3,3,3,0,True,True,True
riscv-simulator-register,16,RISCV-Simulator,g03-8ae9f75acde3,2,2,2,0,True,True,True
riscv-simulator-registerfile,17,RISCV-Simulator,g03-8ae9f75acde3,1,1,1,0,True,True,True
