pair_id,target_name,v5_run_dir,model,num_ctx,num_predict,saved_v5_request_available,saved_v5_request_exact_match,saved_v5_observed_prompt_tokens,reconstructed_v5_prompt_tokens,saved_v5_prompt_token_delta,source_contract_chars,dependency_contract_chars,dependency_symbol_match_count,nonrag_repeat_hash_match,rag_repeat_hash_match,source_contract_proxy_prompt_tokens,source_contract_proxy_headroom,source_contract_proxy_headroom_after_reserved_output,source_contract_proxy_budget_pass,rag_contract_proxy_prompt_tokens,rag_contract_proxy_headroom,rag_contract_proxy_headroom_after_reserved_output,rag_contract_proxy_budget_pass
echo-web-server-block-deque,block-deque,experiments/v5/evaluation/rag/echo-web-server-block-deque-001,qwen2.5-coder:32b,32768,16384,True,True,4137,4137,0,1925,507,0,True,True,4643,28125,11741,True,4736,28032,11648,True
echo-web-server-buffer,buffer,experiments/v5/evaluation/rag/echo-web-server-buffer-001,qwen2.5-coder:32b,32768,16384,True,True,6247,6247,0,2159,1006,2,True,True,6816,25952,9568,True,7058,25710,9326,True
echo-web-server-config,config,experiments/v5/evaluation/rag/echo-web-server-config-001,qwen2.5-coder:32b,32768,16384,True,True,5719,5719,0,4477,847,1,True,True,7031,25737,9353,True,7224,25544,9160,True
echo-web-server-heap-timer,heap-timer,experiments/v5/evaluation/rag/echo-web-server-heap-timer-001,qwen2.5-coder:32b,32768,16384,True,True,8069,8069,0,3098,1347,3,True,True,8953,23815,7431,True,9256,23512,7128,True
echo-web-server-http,http,experiments/v5/evaluation/rag/echo-web-server-http-001,qwen2.5-coder:32b,32768,16384,True,True,5640,5640,0,9797,5352,20,True,True,8460,24308,7924,True,9851,22917,6533,True
echo-web-server-io,io,experiments/v5/evaluation/rag/echo-web-server-io-001,qwen2.5-coder:32b,32768,16384,True,True,6157,6157,0,1746,2218,9,True,True,6612,26156,9772,True,7146,25622,9238,True
echo-web-server-ip,ip,experiments/v5/evaluation/rag/echo-web-server-ip-001,qwen2.5-coder:32b,32768,16384,True,True,5259,5259,0,1078,665,1,True,True,5521,27247,10863,True,5654,27114,10730,True
echo-web-server-log,log,experiments/v5/evaluation/rag/echo-web-server-log-001,qwen2.5-coder:32b,32768,16384,False,,,8152,,10225,4803,12,True,True,11088,21680,5296,True,12332,20436,4052,True
echo-web-server-thread-pool,thread-pool,experiments/v5/evaluation/rag/echo-web-server-thread-pool-001,qwen2.5-coder:32b,32768,16384,True,True,3687,3687,0,1734,1223,3,True,True,4107,28661,12277,True,4380,28388,12004,True
echo-web-server-util,util,experiments/v5/evaluation/rag/echo-web-server-util-001,qwen2.5-coder:32b,32768,16384,True,True,6266,6266,0,3527,507,0,True,True,7270,25498,9114,True,7364,25404,9020,True
ini-cpp-inireader,INIReader,experiments/v5/evaluation/rag/ini-cpp-inireader-001,qwen2.5-coder:32b,32768,16384,True,True,6810,6810,0,4400,507,0,True,True,8110,24658,8274,True,8203,24565,8181,True
ini-cpp-iniwriter,INIWriter::write,experiments/v5/evaluation/rag/ini-cpp-iniwriter-001,qwen2.5-coder:32b,32768,16384,True,True,2072,2072,0,889,507,0,True,True,2255,30513,14129,True,2349,30419,14035,True
riscv-simulator-instruction,Instruction,experiments/v5/evaluation/rag/riscv-simulator-instruction-001,qwen2.5-coder:32b,32768,16384,True,True,3294,3294,0,1339,507,0,True,True,3718,29050,12666,True,3812,28956,12572,True
riscv-simulator-memory,Memory,experiments/v5/evaluation/rag/riscv-simulator-memory-001,qwen2.5-coder:32b,32768,16384,True,True,2327,2327,0,715,507,0,True,True,2477,30291,13907,True,2571,30197,13813,True
riscv-simulator-parser,Parser,experiments/v5/evaluation/rag/riscv-simulator-parser-001,qwen2.5-coder:32b,32768,16384,True,True,2896,2896,0,951,683,1,True,True,3118,29650,13266,True,3254,29514,13130,True
riscv-simulator-register,Register,experiments/v5/evaluation/rag/riscv-simulator-register-001,qwen2.5-coder:32b,32768,16384,True,True,2905,2905,0,661,507,0,True,True,3026,29742,13358,True,3120,29648,13264,True
riscv-simulator-registerfile,RegisterFile,experiments/v5/evaluation/rag/riscv-simulator-registerfile-001,qwen2.5-coder:32b,32768,16384,True,True,2224,2224,0,1133,679,1,True,True,2579,30189,13805,True,2720,30048,13664,True
