pair_id,pair_sequence,repository_id,granularity,nonrag_enabled,rag_enabled,common_fields_match,repository_head_match,source_contract_repeat_match,rag_contract_repeat_match,source_contract_same_across_conditions,rag_retrieval_hash_match,rag_selected_paths_match,rag_target_overlap_count,rag_leakage_path_count,experiment_roots_absent,passed
echo-web-server-block-deque,1,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-buffer,2,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-config,3,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-heap-timer,4,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-http,5,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-io,6,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-ip,7,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-log,8,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-thread-pool,9,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
echo-web-server-util,10,Echo-Web-Server,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
ini-cpp-inireader,11,ini-cpp,class_span,False,False,True,True,True,True,True,True,True,0,0,True,True
ini-cpp-iniwriter,12,ini-cpp,function,False,False,True,True,True,True,True,True,True,0,0,True,True
riscv-simulator-instruction,13,RISCV-Simulator,module_files,False,False,True,True,True,True,True,True,True,0,0,True,True
riscv-simulator-memory,14,RISCV-Simulator,class_span,False,False,True,True,True,True,True,True,True,0,0,True,True
riscv-simulator-parser,15,RISCV-Simulator,class_span,False,False,True,True,True,True,True,True,True,0,0,True,True
riscv-simulator-register,16,RISCV-Simulator,class_span,False,False,True,True,True,True,True,True,True,0,0,True,True
riscv-simulator-registerfile,17,RISCV-Simulator,class_span,False,False,True,True,True,True,True,True,True,0,0,True,True
