最終設計仕様書に記載された置換unitをC++コードとして再生成してください。

規則:
- 設計仕様書に記載された名前、型、signature、namespace、修飾子を変更しないでください。
- C++としてコンパイル可能なコードを生成してください。
- 設計仕様書に存在しない型、API、ファイル、unitを勝手に作らないでください。
- `replacement_required=true`と記載された置換unitだけを生成し、参照専用unitは生成しないでください。
- 各`content`には指定された置換unit本体だけを含めてください。function/byte-span unitでは周辺の`#include`、namespace wrapper、既存の定数・型・helper定義、別unitを複製しないでください。full-file/module-file unitでは`#include`、namespace、型、inline実装を含むファイル全体がunit本体であり、この除外規則の対象外です。
- function置換unitの`content`には、戻り値型、完全な関数名、引数list、修飾子、開閉波括弧、関数bodyを含む完全な関数定義を出力してください。関数body内の文だけを出力してはいけません。
- full-fileまたはmodule-file置換unitの`content`には、設計仕様書に記載された完全なファイルを先頭から末尾まで出力してください。include guardまたはpragma、必要なinclude、namespace、using、すべての型宣言、すべてのメンバー、すべてのinline実装、終端を省略してはいけません。代表的な関数一つ、宣言だけ、またはファイルの一部分だけを出力してはいけません。
- 設計仕様書で既存の周辺symbolとして示されたものは利用だけ行い、再定義しないでください。
- 設計仕様書に記載された変数型、初期値、条件式、比較演算子、分岐順序、更新順序、戻り値、error path、境界条件を逐語的に実装し、省略や等価な書き換えをしないでください。
- 設計仕様書で内容が確認不能とされた定数、table、型、APIを推測して作成しないでください。
- 出力前に、設計仕様書に列挙されたすべての正常経路・異常経路・終了条件が生成コードに存在することを内部確認してください。
- 指定されたJSON Schemaへ厳密に従ってください。
- JSON以外の説明やMarkdownを出力しないでください。
- C++記号をHTML entity化しないでください。
- 文字列、文字リテラル、template、concept、requiresを正しいC++構文で生成してください。

FINAL_DESIGN_SPECIFICATION:
## Design Specification for `BlockDeque`

This document details the design specification for a thread-safe block deque (`BlockDeque`) implemented using a `std::deque` as its underlying storage. This specification is based on the provided C++ header file and aims to enable re-implementation without access to the original source code.

**1. Overview**

The `BlockDeque` class provides a double-ended queue with blocking behavior when full or empty. Producers can block when attempting to add elements to a full queue, and consumers can block when attempting to retrieve elements from an empty queue.  It uses condition variables for signaling between producers and consumers.

**2. Namespace:**

*   `ws`

**3. Class: `BlockDeque<T>`**

*   **Template Parameter:**
    *   `T`: The type of element stored in the deque.

*   **Member Variables (Private):**
    *   `mtx_`: A `std::mutex` to protect access to the internal data structures.  Mutable, as it's used within const methods via `const_cast`.
    *   `closed_`: An `std::atomic_bool` indicating whether the queue is closed (no more elements will be added). Initialized to `false`.
    *   `capacity_`: A `std::size_t` representing the maximum capacity of the deque.  Initialized in the constructor and remains constant throughout the object's lifetime.
    *   `deq_`: A `std::deque<T>` used as the underlying storage for the elements.
    *   `consumer_cond_`: A `std::condition_variable` to signal consumers when an element becomes available.
    *   `producer_cond_`: A `std::condition_variable` to signal producers when space becomes available.

**4. Constructors & Destructor:**

*   `BlockDeque(std::size_t capacity = 1000) noexcept;`
    *   Initializes the `capacity_` member variable with the provided `capacity`.  Asserts that `capacity > 0`.
*   `BlockDeque(const BlockDeque&) = delete;`
    *   Copy constructor is deleted.
*   `BlockDeque(BlockDeque&&) = delete;`
    *   Move constructor is deleted.
*   `BlockDeque& operator=(const BlockDeque&) = delete;`
    *   Copy assignment operator is deleted.
*   `BlockDeque& operator=(BlockDeque&&) = delete;`
    *   Move assignment operator is deleted.
*   `~BlockDeque() noexcept;`
    *   Calls `Close()` to clear the queue and signal any waiting threads before destruction.

**5. Public Methods:**

*   `void Clear() noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Clears all elements from the underlying `deq_`.
*   `bool Empty() const noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Returns `true` if the deque is empty, `false` otherwise.
*   `bool Full() const noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Returns `true` if the deque is full (size equals capacity), `false` otherwise.  Asserts that size <= capacity_.
*   `std::size_t Size() const noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Returns the number of elements currently in the deque.
*   `std::size_t Capacity() const noexcept;`
    *   Returns the maximum capacity of the deque (initialized in constructor).
*   `void PushBack(T item) noexcept;`
    *   Acquires a `std::unique_lock` on `mtx_`.
    *   Calls `WaitForSpace()` to block if the queue is full.
    *   Adds the provided `item` to the back of the underlying `deq_` using `push_back()`.  The item should be moved into the deque.
    *   Calls `Flush()` to notify a consumer.
*   `void PushFront(T item) noexcept;`
    *   Acquires a `std::unique_lock` on `mtx_`.
    *   Calls `WaitForSpace()` to block if the queue is full.
    *   Adds the provided `item` to the front of the underlying `deq_` using `push_front()`. The item should be moved into the deque.
    *   Calls `Flush()` to notify a consumer.
*   `const T& Front() const noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Asserts that the queue is not empty.
    *   Returns a constant reference to the first element in the deque.
*   `const T& Back() const noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Asserts that the queue is not empty.
    *   Returns a constant reference to the last element in the deque.
*   `T& Front() noexcept;`
    *   Calls `const_cast<T&>(std::as_const(*this).Front())`.  Provides non-const access to the front element.
*   `T& Back() noexcept;`
    *   Calls `const_cast<T&>(std::as_const(*this).Back())`. Provides non-const access to the back element.
*   `std::optional<T> Pop(std::optional<Clock::duration> time_out = std::nullopt) noexcept;`
    *   Acquires a `std::unique_lock` on `mtx_`.
    *   If `time_out` is provided:
        *   Waits on `consumer_cond_` for up to the specified `time_out`, checking if the queue is not empty or closed.  Returns `std::nullopt` if the timeout expires before an element becomes available.
    *   Otherwise (if `time_out` is `std::nullopt`):
        *   Waits indefinitely on `consumer_cond_` until the queue is not empty or closed.
    *   If the queue is closed, returns `std::nullopt`.
    *   Otherwise:
        *   Retrieves the first element from the deque using `deq_.front()`.
        *   Removes the first element from the deque using `deq_.pop_front()`.
        *   Notifies a producer via `producer_cond_.notify_one()`.
        *   Returns the retrieved element wrapped in `std::optional<T>`.
*   `void Flush() noexcept;`
    *   Notifies one waiting consumer on `consumer_cond_`.
*   `void Close() noexcept;`
    *   Acquires a lock on `mtx_`.
    *   Calls `ClearNoLock()` to clear the deque.
    *   Sets `closed_` to `true`.
    *   Notifies all waiting producers and consumers via `producer_cond_.notify_all()` and `consumer_cond_.notify_all()`.

**6. Private Methods:**

*   `void WaitForSpace(std::unique_lock<std::mutex>& locker) noexcept;`
    *   Waits on `producer_cond_` until the deque has space available (size < capacity).
*   `void ClearNoLock() noexcept;`
    *   Clears all elements from the underlying `deq_`.  This method is intended to be called while holding a lock.

**7. Type Definitions:**

*   `using Clock = std::chrono::steady_clock;` Defines a clock type for time durations.

**8. Thread Safety:**

The `BlockDeque` class is designed to be thread-safe by using a mutex (`mtx_`) and condition variables (`consumer_cond_`, `producer_cond_`) to synchronize access to the underlying data structures.  All public methods acquire appropriate locks before accessing shared resources.
