最終設計仕様書に記載された置換unitをC++コードとして再生成してください。

規則:
- 設計仕様書に記載された名前、型、signature、namespace、修飾子を変更しないでください。
- C++としてコンパイル可能なコードを生成してください。
- 設計仕様書に存在しない型、API、ファイル、unitを勝手に作らないでください。
- `replacement_required=true`と記載された置換unitだけを生成し、参照専用unitは生成しないでください。
- 各`content`には指定された置換unit本体だけを含めてください。function/byte-span unitでは周辺の`#include`、namespace wrapper、既存の定数・型・helper定義、別unitを複製しないでください。full-file/module-file unitでは`#include`、namespace、型、inline実装を含むファイル全体がunit本体であり、この除外規則の対象外です。
- function置換unitの`content`には、戻り値型、完全な関数名、引数list、修飾子、開閉波括弧、関数bodyを含む完全な関数定義を出力してください。関数body内の文だけを出力してはいけません。
- full-fileまたはmodule-file置換unitの`content`には、設計仕様書に記載された完全なファイルを先頭から末尾まで出力してください。include guardまたはpragma、必要なinclude、namespace、using、すべての型宣言、すべてのメンバー、すべてのinline実装、終端を省略してはいけません。代表的な関数一つ、宣言だけ、またはファイルの一部分だけを出力してはいけません。
- 設計仕様書で既存の周辺symbolとして示されたものは利用だけ行い、再定義しないでください。
- 設計仕様書に記載された変数型、初期値、条件式、比較演算子、分岐順序、更新順序、戻り値、error path、境界条件を逐語的に実装し、省略や等価な書き換えをしないでください。
- 設計仕様書で内容が確認不能とされた定数、table、型、APIを推測して作成しないでください。
- 出力前に、設計仕様書に列挙されたすべての正常経路・異常経路・終了条件が生成コードに存在することを内部確認してください。
- 指定されたJSON Schemaへ厳密に従ってください。
- JSON以外の説明やMarkdownを出力しないでください。
- C++記号をHTML entity化しないでください。
- 文字列、文字リテラル、template、concept、requiresを正しいC++構文で生成してください。

FINAL_DESIGN_SPECIFICATION:
## Design Specification for Logging System

This document details the design of a logging system based on the provided C++ source code. It aims to provide sufficient information for another LLM to reimplement the system without access to the original code.  The specification focuses solely on the public interface and behavior as defined by the given files, avoiding any assumptions beyond what is explicitly stated.

**1. Overview**

The logging system provides a flexible way to record events with varying levels of severity (Debug, Info, Warn, Error, Fatal). It supports multiple appenders that can write log messages to different destinations (e.g., standard output, files).  Configuration is handled externally and loaded via YAML format. The system offers both synchronous and asynchronous logging capabilities.

**2. Core Components & Classes**

*   **`ws::log::Level`**: An enumeration representing the severity of a log event.
    *   Values: `Debug`, `Info`, `Warn`, `Error`, `Fatal`.
    *   Provides string conversion functions (`LevelToString`, `to_string`) and parsing from strings (`StringToLevel`).

*   **`ws::log::AppenderType`**: An enumeration representing the type of appender.
    *   Values: `StdOut`, `File`.
    *   Provides string conversion functions (`AppenderTypeToString`, `to_string`) and parsing from strings (`StringToAppenderType`).

*   **`ws::log::Event`**: Represents a single log event.
    *   Contains information like level, timestamp, thread ID, file name, line number, and message.
    *   Provides static factory method `Create()` to construct events.  The constructor is private; use the factory.
    *   Offers accessors for all data members (e.g., `Level()`, `FileName()`, `Message()`).
    *   `MessageStream()` returns an `std::ostringstream&` allowing users to build messages incrementally before finalizing the event.

*   **`ws::log::Formatter`**:  Responsible for formatting log events into strings.
    *   Uses a pattern string to define the output format (e.g., `%d{%Y-%m-%d %H:%M:%S}%T%t%T[%p]%T[%c]%T<%f:%l>%T%m%n`).
    *   `Default()` returns a pre-configured formatter with a standard pattern.
    *   `Format()` takes a `Logger` and an `Event` and returns the formatted string.

*   **`ws::log::Formatter::Field`**: An abstract base class for individual field formatters within a `Formatter`.  Derived classes implement specific formatting logic (e.g., formatting timestamps, thread IDs).
    *   `Format()`: Abstract method to format the field into an output stream.
    *   `Tag()`: Returns a string representing the tag used in the formatter pattern for this field.

*   **`ws::log::Appender`**: An abstract base class for appenders that write log events to specific destinations.
    *   `Log()`: Abstract method to write an event.  Subclasses must implement this.
    *   `ToYamlString()`: Returns a YAML string representing the appender's configuration.
    *   Holds a `Formatter::Ptr` which is used for formatting events before writing them.

