run_id,target_id,condition_id,status,failure_stage,result_path
rag-v1-formal-echo-web-server-block-deque,echo-web-server-block-deque,rag-design-context-v1,failed,direct_test,experiments/rag/rag-v1-formal-echo-web-server-block-deque/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-buffer,echo-web-server-buffer,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-buffer/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-config,echo-web-server-config,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-config/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-heap-timer,echo-web-server-heap-timer,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-heap-timer/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-http,echo-web-server-http,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-http/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-io,echo-web-server-io,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-io/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-ip,echo-web-server-ip,rag-design-context-v1,passed,,experiments/rag/rag-v1-formal-echo-web-server-ip/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-log,echo-web-server-log,rag-design-context-v1,failed,materialize_code,experiments/rag/rag-v1-formal-echo-web-server-log/evaluation/pipeline_failure.json
rag-v1-formal-echo-web-server-thread-pool,echo-web-server-thread-pool,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-thread-pool/evaluation/evaluation_manifest.json
rag-v1-formal-echo-web-server-util,echo-web-server-util,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-echo-web-server-util/evaluation/evaluation_manifest.json
rag-v1-formal-ini-cpp-ini-writer,ini-cpp-ini-writer,rag-design-context-v1,passed,,experiments/rag/rag-v1-formal-ini-cpp-ini-writer/evaluation/evaluation_manifest.json
rag-v1-formal-ini-cpp-inireader,ini-cpp-inireader,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-ini-cpp-inireader/evaluation/evaluation_manifest.json
rag-v1-formal-riscv-simulator-instruction,riscv-simulator-instruction,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-riscv-simulator-instruction/evaluation/evaluation_manifest.json
rag-v1-formal-riscv-simulator-memory,riscv-simulator-memory,rag-design-context-v1,passed,,experiments/rag/rag-v1-formal-riscv-simulator-memory/evaluation/evaluation_manifest.json
rag-v1-formal-riscv-simulator-parser,riscv-simulator-parser,rag-design-context-v1,failed,build,experiments/rag/rag-v1-formal-riscv-simulator-parser/evaluation/evaluation_manifest.json
rag-v1-formal-riscv-simulator-register,riscv-simulator-register,rag-design-context-v1,passed,,experiments/rag/rag-v1-formal-riscv-simulator-register/evaluation/evaluation_manifest.json
rag-v1-formal-riscv-simulator-registerfile,riscv-simulator-registerfile,rag-design-context-v1,passed,,experiments/rag/rag-v1-formal-riscv-simulator-registerfile/evaluation/evaluation_manifest.json
