repository,commit,target,target_granularity,source_files,test_files,implementation_style,total_lines,blank_lines,code_lines,comment_lines,method_count,test_declaration_count,discovered_test_count,filter_selected_count,baseline_build,baseline_test,baseline_repeatability,mutations_attempted,compile_killed,test_killed,direct_test_killed,indirect_test_killed,runtime_killed,survived,execution_error,observed_behaviors,untested_behaviors,dependencies,deterministic,implementation_replaceable,decision,decision_reason
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,util,module,include/util.h;src/util/util.cpp,tests/util_test.cpp,hpp/cpp分離の自由関数・補助型モジュール,466,81,275,110,38,9,9,9,success,success (9/9 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,大小文字変換、substring置換、YAML必須field、RAII、YAML node、concept、read-only mmap,locale依存Unicode case、mmap権限/巨大file/OS error、全YAML例外形,STL; yaml-cpp; POSIX mmap/stat/open/close; file I/O,yes（3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,buffer,module,include/containers/buffer.h;src/containers/buffer/buffer.cpp,tests/containers/buffer_test.cpp,hpp/cpp分離のBuffer/IOBufferクラス群,421,99,242,80,40,6,6,6,success,success (6/6 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,2,2,0,1,0,0,構築、append/retrieve/clear、offset、read/write、IOBuffer,極端な容量、allocation失敗、高競合下の全offset/interleaving,STL; util; memory allocation; network/time/random/thread/GUI/hardwareなし,yes（3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを2件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,io,module,include/io.h;src/io/io.cpp,tests/io_test.cpp,hpp/cpp分離のStream抽象とStringStream/FileDescriptor実装,217,48,110,59,7,2,2,2,success,success (2/2 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,StringStreamとBuffer間の双方向転送、FileDescriptorへの書き込み,EINTR/EAGAIN、partial I/O、実socket/device、fd失効,Buffer; STL streams; POSIX fd read/write; file/device descriptor I/O,yes（固定local fdテストで3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,config,module,include/config.h;src/config/config.cpp,tests/config_test.cpp,template実装を含むheader + cppの設定モジュール,622,89,407,126,47,10,10,10,success,success (10/10 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,scalar/list/map/set変換、値更新/listener、lookup、YAMLからの設定,高競合更新、listener例外、全不正YAML/type mismatch,util; yaml-cpp; STL containers/locks; file-backed YAML load,yes（3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,block-deque,class,include/containers/block_deque.h,tests/containers/block_deque_test.cpp,header-only template class,261,51,156,54,20,4,4,4,success,success (4/4 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,単一/複数thread push/pop、両端順序、close,長時間高競合、公平性、spurious wakeupの全interleaving,STL deque/mutex/condition_variable; thread scheduling,yes（3回一致；scheduler依存余地あり）,yes（公開interface維持のclass単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,log,module,include/log.h;src/log/log.cpp;src/log/appender.cpp;src/log/field.h;src/log/field.cpp;src/log/config_init.h;src/log/config_init.cpp,tests/log_test.cpp;src/log/field_test.cpp;src/log/config_init_test.cpp,公開header + 複数cpp/internal headerの複合モジュール,1636,357,1044,235,127,9,9,9,success,success (9/9 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,同期/非同期log、management、format、pattern parse、configuration listener,permission不足、rotation/reopen失敗、時刻境界、高並行時の完全順序,fmt; yaml-cpp/config; STL threads/locks; filesystem; system time,yes（3回一致；時刻・thread・filesystem依存あり）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,heap-timer,class,include/containers/heap_timer.h,tests/containers/heap_timer_test.cpp,header-only template class,500,78,287,135,40,8,8,8,success,success (8/8 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,push/pop/adjust/remove/clear、callback invoke、tick、次回期限,clock境界、callback例外、高並行更新,STL heap/map/function; steady_clock time,yes（3回一致；steady_clock依存あり）,yes（公開interface維持のclass単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,thread-pool,class,include/containers/thread_pool.h;src/containers/thread_pool/thread_pool.cpp,tests/containers/thread_pool_test.cpp,hpp/cpp分離のThreadPool class,175,33,100,42,10,1,1,1,success,success (1/1 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,worker開始、task投入、task実行,shutdown競合、task例外、飽和負荷、公平性,STL thread/mutex/condition_variable; scheduler,yes（3回一致；scheduler依存余地あり）,yes（公開interface維持のclass単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,ip,module,include/ip.h;src/ip/ip.cpp,tests/ip_test.cpp,hpp/cpp分離のAddr/IPv4Addr/IPv6Addrクラス群,198,59,123,16,14,5,5,5,success,success (5/5 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,3,3,0,0,0,0,IPv4/IPv6構築、port/address/raw表現、valid address concept,全不正address、IPv6 scope、OS API失敗、live network,"POSIX sockets, sockaddr, inet_ntop/inet_pton; OS networking API",yes（固定OS APIで3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを3件確認。
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,http,module,include/http.h;src/http/http.cpp;src/http/request.h;src/http/request.cpp;src/http/response.h;src/http/response.cpp,tests/http_test.cpp;src/http/request_test.cpp;src/http/response_test.cpp,公開header + request/response内部クラスの複合モジュール,1192,223,736,233,86,9,9,9,success,success (9/9 direct tests x3),stable: CTest 63/63 x3; all GTest 63/63 x3; direct names/order/count x3 identical,3,0,2,2,0,1,0,0,status/content-type変換、request parse、URL encoded POST、response build、keep-alive,chunked/巨大/malformed入力の全組合せ、escaping境界、live network integration,buffer/io/config/util; fmt; filesystem; HTTP text parsing; no live network in direct tests,yes（固定local fixtureで3回一致）,yes（公開interface維持のmodule単位）,採用,固定環境のbaselineが3回安定し、置換可能。主要責務のdirect_test_killedを2件確認。
