repository,commit,target,target_granularity,source_files,test_files,implementation_style,code_lines,comment_lines,method_count,test_declaration_count,discovered_test_count,baseline_build,baseline_test,baseline_repeatability,mutations_attempted,compile_killed,test_killed,direct_test_killed,indirect_test_killed,runtime_killed,survived,execution_error,observed_behaviors,untested_behaviors,dependencies,deterministic,implementation_replaceable,decision,decision_reason
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,util,module,"include/util.h;src/util/util.cpp",tests/util_test.cpp,mixed hpp/cpp with inline templates,275,110,28,9,NOT_AVAILABLE,"FAIL: CMake configure exit 1; yaml-cpp package config missing",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares string, RAII, YAML, concept, and mapped-file checks","all runtime behavior; system-error paths; nonblocking descriptor; thread ID; backtrace; singleton templates","C++ standard library; fmt; yaml-cpp; Linux execinfo/fcntl/mmap/syscall/unistd",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"fixed Docker image lacks libyaml-cpp-dev and libfmt-dev, so the clean baseline cannot configure and no direct test evidence exists"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,buffer,module,"include/containers/buffer.h;src/containers/buffer/buffer.cpp",tests/containers/buffer_test.cpp,hpp/cpp split,242,80,38,6,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares construction, copy, offsets, append/retrieve, clear, and IOBuffer checks","all runtime behavior; allocation-growth corner cases; invalid offset/assert behavior; large input","C++ standard library; io module; vector/span/atomic",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the fixed-environment repository baseline cannot configure, so buffer cannot be built or directly tested"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,io,module,"include/io.h;src/io/io.cpp",tests/io_test.cpp,hpp/cpp split,110,59,10,2,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares StringStream and FileDescriptor read/write checks","all runtime behavior; Null adapter; partial I/O; EINTR/EAGAIN; large vectored reads; descriptor lifetime","buffer and util modules; POSIX readv/write/unistd; C++ iostreams",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the fixed-environment repository baseline cannot configure, so io cannot be built or directly tested"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,config,module,"include/config.h;src/config/config.cpp",tests/config_test.cpp,mixed header templates and cpp implementation,407,126,38,10,NOT_AVAILABLE,"FAIL: CMake configure exit 1; yaml-cpp package config missing",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares converter, variable/listener, lookup/load, and visit checks","all runtime behavior; concurrency; listener exception paths; duplicate registration; unordered conversion stability; root singleton","util module; yaml-cpp; fmt; C++ mutex/shared_mutex and containers",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"config has a direct yaml-cpp dependency that is absent from the fixed image, preventing configure and all direct tests"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,block-deque,module,include/containers/block_deque.h,tests/containers/block_deque_test.cpp,header-only template,156,54,18,4,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares construction, FIFO push/pop, multithread, and close checks","all runtime behavior; producer blocking; timeout accuracy; flush; clear wake-up semantics; close races","C++ standard library deque/condition_variable/mutex/atomic/thread",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"although header-only and statically isolated, the required repository baseline and direct GoogleTest executable cannot be produced"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,log,module,"include/log.h;src/log/log.cpp;src/log/appender.cpp;src/log/field.h;src/log/field.cpp;src/log/config_init.h;src/log/config_init.cpp","tests/log_test.cpp;src/log/field_test.cpp;src/log/config_init_test.cpp",multi-file module with public and private headers,1044,235,101,9,NOT_AVAILABLE,"FAIL: repository configure stops in util/config dependencies",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test sources statically declare sync/async logging, manager, enum conversion, formatter, field parsing, and YAML configuration checks","all runtime behavior; real stdout/file appender output; shutdown loss; time formatting; queue pressure; concurrent reconfiguration","util, block-deque, and config modules; fmt; yaml-cpp; filesystem output; system clock; threads",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the fixed image cannot configure required util/config dependencies, so neither log test executable is generated"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,heap-timer,module,include/containers/heap_timer.h,tests/containers/heap_timer_test.cpp,header-only template,287,135,25,8,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares push/pop, adjust, remove, invoke, tick, next-tick, and clear checks","all runtime behavior; real-time boundary races; duplicate-key update corner cases; callback reentrancy; exception logging","log and util modules; C++ steady_clock; containers; callbacks",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the required clean repository build and direct tests are unavailable in the fixed image"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,thread-pool,module,"include/containers/thread_pool.h;src/containers/thread_pool/thread_pool.cpp",tests/containers/thread_pool_test.cpp,hpp/cpp split,100,42,6,1,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares asynchronous task execution","all runtime behavior; start/close races; queued-task loss; exception logging; zero hardware concurrency; repeat start; saturation","Threads::Threads/pthread; log and util modules; hardware_concurrency; condition_variable",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the direct test executable cannot be built in the fixed environment, so no stable direct detection evidence exists"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,ip,module,"include/ip.h;src/ip/ip.cpp",tests/ip_test.cpp,hpp/cpp split,123,16,15,5,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test source statically declares constants, IPv4/IPv6 construction, raw conversion, port, and concept checks","all runtime behavior; invalid address errors; IPv6 scope; non-loopback addresses; endian/platform variation","util module; POSIX arpa/inet and netinet socket structures",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the repository-level fixed-environment baseline fails before ip and its direct tests can be built"
Echo-Web-Server,fb2fadb7e7f4c340325b0a72847425f6e8b6367e,http,module,"include/http.h;src/http/http.cpp;src/http/request.h;src/http/request.cpp;src/http/response.h;src/http/response.cpp","tests/http_test.cpp;src/http/request_test.cpp;src/http/response_test.cpp",multi-file module with public and private classes,736,233,62,9,NOT_AVAILABLE,"FAIL: repository configure stops in util dependency",NOT_RUN,NOT_ASSESSABLE,0,0,0,0,0,0,0,0,"none executed; test sources statically declare conversion, URL/HTML helpers, request parsing, and response-building checks","all runtime behavior; ConnectionImpl receive/send/process; real sockets; unsupported methods/content types; traversal/security; partial I/O","buffer, io, ip, and util modules; filesystem; POSIX socket/file APIs; fmt",NOT_ASSESSABLE,statically_replaceable_but_not_build_validated,除外,"the fixed-environment clean baseline cannot configure and the test-bundle/http-test executables are absent"
