target_id,repository,target_name,failure_stage,failure_category,failure_category_ja,failure_detail,design_done_reason,code_done_reason,normalization_applied
echo-web-server-block-deque,Echo-Web-Server,block-deque,direct_test,hang_external_stop_deadlock_suspected,ハング・外部停止（デッドロック疑い）,"直接テスト中に処理の進行が停止し、外部から終了された。デッドロックの可能性があるが、スレッドダンプ等による厳密な確定はしていない（exit_code=137, elapsed_seconds=56279.41479750001）",stop,stop,
echo-web-server-buffer,Echo-Web-Server,buffer,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/src/containers/buffer/buffer.cpp:83:50: error: stray '\' in program,stop,stop,
echo-web-server-config,Echo-Web-Server,config,build,type_interface_misunderstanding,型・インタフェースの誤理解,"/workspace/repos/Echo-Web-Server/src/config/config.cpp:305:25: error: no matching function for call to 'std::unordered_map<std::__cxx11::basic_string<char>, std::shared_ptr<ws::cfg::VarBase> >::find(const string_view&)'",stop,stop,
echo-web-server-heap-timer,Echo-Web-Server,heap-timer,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/include/containers/heap_timer.h:47:61: error: expected ';' before 'gt',stop,stop,
echo-web-server-http,Echo-Web-Server,http,build,type_interface_misunderstanding,型・インタフェースの誤理解,/workspace/repos/Echo-Web-Server/src/http/request.cpp:8:26: error: invalid use of incomplete type 'class ws::http::Request::State',stop,stop,
echo-web-server-io,Echo-Web-Server,io,build,type_interface_misunderstanding,型・インタフェースの誤理解,/workspace/repos/Echo-Web-Server/src/io/io.cpp:14:20: error: cannot convert 'std::span<std::byte>' to 'std::size_t' {aka 'long unsigned int'},stop,stop,
echo-web-server-log,Echo-Web-Server,log,code_regeneration,output_truncation,生成出力の打ち切り,code regeneration ended with done_reason=length,stop,length,
echo-web-server-thread-pool,Echo-Web-Server,thread-pool,build,missing_definition_or_dependency,定義・依存関係の欠落,/workspace/repos/Echo-Web-Server/src/containers/thread_pool/thread_pool.cpp:57:31: error: 'ws::log::LogLevel' has not been declared,stop,stop,
echo-web-server-util,Echo-Web-Server,util,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/include/util.h:239:38: error: expected '{' before ';' token,stop,stop,
ini-cpp-inireader,ini-cpp,INIReader,build,type_interface_misunderstanding,型・インタフェースの誤理解,"/workspace/repos/ini-cpp/ini/ini.h:129:104: error: no matching function for call to 'std::basic_string_view<char>::basic_string_view(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >)'",stop,stop,True
riscv-simulator-instruction,RISCV-Simulator,Instruction,build,type_interface_misunderstanding,型・インタフェースの誤理解,"/workspace/repos/RISCV-Simulator/src/Common/Instruction.hpp:65:173: error: request for member 'value' in '((InstructionBase*)this)->InstructionBase::imm', which is of non-class type 'Immediate' {aka 'unsigned int'}",stop,stop,False
