target_id,run_id,repository,target_name,experiment_directory,config_path,legacy_format,result_source,granularity,source_files,test_files,expected_direct_tests,expected_full_tests,num_ctx,num_predict,design_done_reason,design_prompt_eval_count,design_eval_count,code_done_reason,code_prompt_eval_count,code_eval_count,normalization_applied,normalization_type,strict_format_pass,retry_performed,automatic_repair_performed,overall_pass,result,failure_stage,failure_category,failure_category_ja,failure_detail,original_loc,original_chars,original_measurement_scope,generated_loc,generated_chars,generated_original_loc_ratio,restored,repository_clean,total_recorded_elapsed_seconds,data_quality_notes,design_generation_status,design_generation_exit_code,design_generation_timed_out,design_generation_elapsed_seconds,design_generation_tests_ran,design_generation_tests_passed,design_generation_tests_failed,code_regeneration_status,code_regeneration_exit_code,code_regeneration_timed_out,code_regeneration_elapsed_seconds,code_regeneration_tests_ran,code_regeneration_tests_passed,code_regeneration_tests_failed,configure_status,configure_exit_code,configure_timed_out,configure_elapsed_seconds,configure_tests_ran,configure_tests_passed,configure_tests_failed,build_status,build_exit_code,build_timed_out,build_elapsed_seconds,build_tests_ran,build_tests_passed,build_tests_failed,direct_test_status,direct_test_exit_code,direct_test_timed_out,direct_test_elapsed_seconds,direct_test_tests_ran,direct_test_tests_passed,direct_test_tests_failed,full_test_status,full_test_exit_code,full_test_timed_out,full_test_elapsed_seconds,full_test_tests_ran,full_test_tests_passed,full_test_tests_failed
echo-web-server-block-deque,echo-web-server-block-deque-qwen25coder32b-001,Echo-Web-Server,block-deque,experiments/echo-web-server-block-deque-roundtrip-001,configs/roundtrip/targets/echo-web-server-block-deque.json,False,experiments/echo-web-server-block-deque-roundtrip-001/evaluation/evaluation_manifest.json,module_files,include/containers/block_deque.h,tests/containers/block_deque_test.cpp,4,63,16384,8192,stop,1747,1527,stop,2997,1980,,,,,,False,FAIL,direct_test,hang_external_stop_deadlock_suspected,ハング・外部停止（デッドロック疑い）,"直接テスト中に処理の進行が停止し、外部から終了された。デッドロックの可能性があるが、スレッドダンプ等による厳密な確定はしていない（exit_code=137, elapsed_seconds=56279.41479750001）",261,6432,module_files_backup,262,6377,1.003831417624521,True,True,56314.45873100008,,passed,,,,,,,passed,,,,,,,passed,0,,4.794290600111708,,,,passed,0,,30.249642899958417,,,,failed,137,,56279.41479750001,,,,skipped,,,,,,
echo-web-server-buffer,echo-web-server-buffer-qwen25coder32b-001,Echo-Web-Server,buffer,experiments/echo-web-server-buffer-roundtrip,configs/roundtrip/targets/echo-web-server-buffer.json,False,experiments/echo-web-server-buffer-roundtrip/evaluation/evaluation_manifest.json,module_files,include/containers/buffer.h; src/containers/buffer/buffer.cpp,tests/containers/buffer_test.cpp,6,63,16384,8192,stop,2871,1372,stop,3123,3274,,,,,,False,FAIL,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/src/containers/buffer/buffer.cpp:83:50: error: stray '\' in program,421,11165,module_files_backup,400,11325,0.9501187648456056,True,True,17.55556600005366,,passed,,,,,,,passed,,,,,,,passed,0,False,5.299052200047299,,,,failed,2,False,12.25651380000636,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-config,echo-web-server-config-qwen25coder32b-002,Echo-Web-Server,config,experiments/echo-web-server-config-roundtrip-002,configs/roundtrip/targets/echo-web-server-config.json,False,experiments/echo-web-server-config-roundtrip-002/evaluation/evaluation_manifest.json,module_files,include/config.h; src/config/config.cpp,tests/config_test.cpp,10,63,16384,8192,stop,4294,909,stop,3530,6080,,,,,,False,FAIL,build,type_interface_misunderstanding,型・インタフェースの誤理解,"/workspace/repos/Echo-Web-Server/src/config/config.cpp:305:25: error: no matching function for call to 'std::unordered_map<std::__cxx11::basic_string<char>, std::shared_ptr<ws::cfg::VarBase> >::find(const string_view&)'",622,17920,module_files_backup,713,21091,1.1463022508038585,True,True,16.243642800021917,,passed,,,,,,,passed,,,,,,,passed,0,,8.758542200084776,,,,failed,2,,7.485100599937141,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-heap-timer,echo-web-server-heap-timer-qwen25coder32b-001,Echo-Web-Server,heap-timer,experiments/echo-web-server-heap-timer-roundtrip,configs/roundtrip/targets/echo-web-server-heap-timer.json,False,experiments/echo-web-server-heap-timer-roundtrip/evaluation/evaluation_manifest.json,module_files,include/containers/heap_timer.h,tests/containers/heap_timer_test.cpp,8,63,16384,8192,stop,3447,1405,stop,3946,3247,,,,,,False,FAIL,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/include/containers/heap_timer.h:47:61: error: expected ';' before 'gt',500,13906,module_files_backup,423,11435,0.846,True,True,27.402827699901536,,passed,,,,,,,passed,,,,,,,passed,0,False,5.20643789996393,,,,failed,2,False,22.196389799937606,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-http,echo-web-server-http-qwen25coder32b-001,Echo-Web-Server,http,experiments/echo-web-server-http-roundtrip,configs/roundtrip/targets/echo-web-server-http.json,False,experiments/echo-web-server-http-roundtrip/evaluation/evaluation_manifest.json,module_files,include/http.h; src/http/http.cpp; src/http/request.h; src/http/request.cpp; src/http/response.h; src/http/response.cpp,tests/http_test.cpp; src/http/request_test.cpp; src/http/response_test.cpp,9,63,16384,8192,stop,7896,1059,stop,4345,6477,,,,,,False,FAIL,build,type_interface_misunderstanding,型・インタフェースの誤理解,/workspace/repos/Echo-Web-Server/src/http/request.cpp:8:26: error: invalid use of incomplete type 'class ws::http::Request::State',1192,33334,module_files_backup,854,22843,0.7164429530201343,True,True,17.058589100139216,,passed,,,,,,,passed,,,,,,,passed,0,False,5.287811500020325,,,,failed,2,False,11.77077760011889,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-io,echo-web-server-io-qwen25coder32b-002,Echo-Web-Server,io,experiments/echo-web-server-io-roundtrip-002,configs/roundtrip/targets/echo-web-server-io.json,False,experiments/echo-web-server-io-roundtrip-002/evaluation/evaluation_manifest.json,module_files,include/io.h; src/io/io.cpp,tests/io_test.cpp,2,63,8192,2048,stop,1522,1299,stop,2509,1683,,,,,,False,FAIL,build,type_interface_misunderstanding,型・インタフェースの誤理解,/workspace/repos/Echo-Web-Server/src/io/io.cpp:14:20: error: cannot convert 'std::span<std::byte>' to 'std::size_t' {aka 'long unsigned int'},217,5588,module_files_backup,222,5664,1.023041474654378,True,True,12.345099299913272,,passed,,,,,,,passed,,,,,,,passed,0,,6.0126765999011695,,,,failed,2,,6.332422700012103,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-ip,echo-web-server-ip-qwen25coder32b-001,Echo-Web-Server,ip,experiments/echo-web-server-ip-roundtrip-001,configs/roundtrip/targets/echo-web-server-ip.json,False,experiments/echo-web-server-ip-roundtrip-001/evaluation/evaluation_manifest.json,module_files,include/ip.h; src/ip/ip.cpp,tests/ip_test.cpp,5,63,8192,2048,stop,1311,848,stop,1861,1400,,,,,,True,PASS,,none,成功,,198,4291,module_files_backup,190,4186,0.9595959595959596,True,True,41.027177300071344,,passed,,,,,,,passed,,,,,,,passed,0,,5.275350800016895,,,,passed,0,,33.12226069997996,,,,passed,0,,0.5892048999667168,,,,passed,0,,2.040360900107771,,,
echo-web-server-log,echo-web-server-log-qwen25coder32b-001,Echo-Web-Server,log,experiments/echo-web-server-log-roundtrip,configs/roundtrip/targets/echo-web-server-log.json,False,batch/manifests fallback,module_files,include/log.h; src/log/log.cpp; src/log/appender.cpp; src/log/field.h; src/log/field.cpp; src/log/config_init.h; src/log/config_init.cpp,tests/log_test.cpp; src/log/field_test.cpp; src/log/config_init_test.cpp,9,63,16384,8192,stop,10503,2478,length,7600,8192,,,,,,False,FAIL,code_regeneration,output_truncation,生成出力の打ち切り,code regeneration ended with done_reason=length,1636,44559,module_files_backup,,,,,,,No evaluation_manifest.json was found; fallback status sources were used. | Pipeline failure file: experiments\echo-web-server-log-roundtrip\evaluation\pipeline_failure.json,passed,,,,,,,failed,,,,,,,not_recorded,,,,,,,not_recorded,,,,,,,not_recorded,,,,,,,not_recorded,,,,,,
echo-web-server-thread-pool,echo-web-server-thread-pool-qwen25coder32b-001,Echo-Web-Server,thread-pool,experiments/echo-web-server-thread-pool-roundtrip,configs/roundtrip/targets/echo-web-server-thread-pool.json,False,experiments/echo-web-server-thread-pool-roundtrip/evaluation/evaluation_manifest.json,module_files,include/containers/thread_pool.h; src/containers/thread_pool/thread_pool.cpp,tests/containers/thread_pool_test.cpp,1,63,16384,8192,stop,1176,1205,stop,2149,1150,,,,,,False,FAIL,build,missing_definition_or_dependency,定義・依存関係の欠落,/workspace/repos/Echo-Web-Server/src/containers/thread_pool/thread_pool.cpp:57:31: error: 'ws::log::LogLevel' has not been declared,175,4277,module_files_backup,155,3798,0.8857142857142857,True,True,23.195291500072926,,passed,,,,,,,passed,,,,,,,passed,0,False,5.039814699906856,,,,failed,2,False,18.15547680016607,,,,skipped,,,,,,,skipped,,,,,,
echo-web-server-util,echo-web-server-util-qwen25coder32b-001,Echo-Web-Server,util,experiments/echo-web-server-util-roundtrip,configs/roundtrip/targets/echo-web-server-util.json,False,experiments/echo-web-server-util-roundtrip/evaluation/evaluation_manifest.json,module_files,include/util.h; src/util/util.cpp,tests/util_test.cpp,9,63,16384,8192,stop,3198,2319,stop,4326,3630,,,,,,False,FAIL,build,syntax_error,構文エラー,/workspace/repos/Echo-Web-Server/include/util.h:239:38: error: expected '{' before ';' token,466,12758,module_files_backup,451,12473,0.9678111587982833,True,True,8.61195209971629,,passed,,,,,,,passed,,,,,,,passed,0,False,6.338921799790114,,,,failed,2,False,2.2730302999261767,,,,skipped,,,,,,,skipped,,,,,,
ini-cpp-ini-writer,ini-writer-minimal,ini-cpp,INIWriter::write,experiments/ini-writer-minimal,,True,C:\Users\kikumanetworklab\Documents\research\cpp-design-dataset\experiments\ini-writer-minimal\evaluation\evaluation_manifest.json,function,,,3,27,,,,,,,,,,,,,,True,PASS,,none,成功,,15,557,function_body_backup,18,495,1.2,,,,,not_recorded,,,,,,,not_recorded,,,,,,,passed,,,,,,,passed,,,,,,,passed,,,,,,,passed,,,,,,
ini-cpp-inireader,ini-cpp-inireader-qwen25coder32b-001,ini-cpp,INIReader,experiments/ini-cpp-inireader-roundtrip,configs/roundtrip/targets/ini-cpp-inireader.json,False,experiments/ini-cpp-inireader-roundtrip/evaluation/evaluation_manifest.json,class_span,ini/ini.h,test/tests.cpp,24,27,16384,8192,stop,3594,1630,stop,3561,3285,True,outer_markdown_fence,False,False,False,False,FAIL,build,type_interface_misunderstanding,型・インタフェースの誤理解,"/workspace/repos/ini-cpp/ini/ini.h:129:104: error: no matching function for call to 'std::basic_string_view<char>::basic_string_view(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >)'",416,14847,class_span_backup,387,13815,0.9302884615384616,True,True,12.052379299886525,,passed,,,,,,,passed,,,,,,,passed,0,False,4.591458800015971,,,,failed,2,False,7.460920499870554,,,,skipped,,,,,,,skipped,,,,,,
