target_id,run_id,status,completed_stages,stage_count,failed_stage,missing,config_path
echo-web-server-block-deque,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-block-deque.draft.json
echo-web-server-buffer,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-buffer.draft.json
echo-web-server-config,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-config.draft.json
echo-web-server-heap-timer,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-heap-timer.draft.json
echo-web-server-http,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-http.draft.json
echo-web-server-io,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-io.draft.json
echo-web-server-ip,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-ip.draft.json
echo-web-server-log,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-log.draft.json
echo-web-server-thread-pool,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-thread-pool.draft.json
echo-web-server-util,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/echo-web-server-util.draft.json
ini-cpp-inireader,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/ini-cpp-inireader.draft.json
ini-cpp-iniwriter,,draft,0,0,,configure/build/test commands;fixed scaffold/dependency context;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/ini-cpp-iniwriter.draft.json
riscv-simulator-instruction,,draft,0,0,,configure/build/test commands;direct_test_filter;expected_direct_tests;fixed scaffold/dependency context;granularity;source_files;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/riscv-simulator-instruction.draft.json
riscv-simulator-memory,,draft,0,0,,configure/build/test commands;direct_test_filter;expected_direct_tests;fixed scaffold/dependency context;granularity;source_files;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/riscv-simulator-memory.draft.json
riscv-simulator-parser,,draft,0,0,,configure/build/test commands;direct_test_filter;expected_direct_tests;fixed scaffold/dependency context;granularity;source_files;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/riscv-simulator-parser.draft.json
riscv-simulator-register,,draft,0,0,,configure/build/test commands;direct_test_filter;expected_direct_tests;fixed scaffold/dependency context;granularity;source_files;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/riscv-simulator-register.draft.json
riscv-simulator-registerfile,,draft,0,0,,configure/build/test commands;direct_test_filter;expected_direct_tests;fixed scaffold/dependency context;granularity;source_files;stage_commands;verified Docker image;verified replacement locator,C:/Users/kikumanetworklab/Documents/research/cpp-design-dataset/configs/roundtrip/targets/riscv-simulator-registerfile.draft.json
