repository_id,target_id,target_name,adoption_status,granularity,source_files,test_files,direct_test_count,direct_test_filter,expected_full_tests,metadata_complete,metadata_missing,execution_ready,execution_missing,notes
Echo-Web-Server,echo-web-server-block-deque,block-deque,採用,class_span,include/containers/block_deque.h,tests/containers/block_deque_test.c,4,BlockDequeTest.Construction:BlockDequeTest.SingleThreadPushPop:BlockDequeTest.MultiThreadPushPop:BlockDequeTest.Close,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-buffer,buffer,採用,module_files,include/containers/buffer.h;src/containers/buffer/buffer.c,tests/containers/buffer_test.c,6,BufferTest.Construction:BufferTest.Copy:BufferTest.ReadWriteOffset:BufferTest.ReadWrite:BufferTest.Clear:IOBufferTest.ReadWrite,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-config,config,採用,module_files,include/config.h;src/config/config.c,tests/config_test.c,10,ConfigurationVariableConverterTest.Number:ConfigurationVariableConverterTest.String:ConfigurationVariableConverterTest.List:ConfigurationVariableConverterTest.Set:ConfigurationVariableConverterTest.Map:ConfigurationVariableTest.Construction:ConfigurationVariableTest.ConvertedFromString:ConfigurationVariableTest.Listen:ConfigurationTest.Lookup:ConfigurationTest.Visit,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-heap-timer,heap-timer,採用,class_span,include/containers/heap_timer.h,tests/containers/heap_timer_test.c,8,HeapTimerTest.Construction:HeapTimerTest.PushPop:HeapTimerTest.Adjust:HeapTimerTest.Remove:HeapTimerTest.Invoke:HeapTimerTest.Tick:HeapTimerTest.ToNextTick:HeapTimerTest.Clear,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-http,http,採用,module_files,include/http.h;src/http/http.c;src/http/request.h;src/http/request.c;src/http/response.h;src/http/response.c,tests/http_test.c;src/http/request_test.c;src/http/response_test.c,9,HTTPTest.StatusCodeEnumConversion:HTTPTest.MethodEnumConversion:HTTPTest.ContentType:HTTPTest.URLEncoding:HTTPTest.HTMLPlaceholder:HTTPTest.PutParameterIntoHTML:HTTPRequestTest.Parse:HTTPResponseTest.BuiltByFile:HTTPResponseTest.BuiltByPredefinedErrorContent,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-io,io,採用,module_files,include/io.h;src/io/io.c,tests/io_test.c,2,StringStreamIOTest.ReadWrite:FileDescriptorIOTest.ReadWrite,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-ip,ip,採用,module_files,include/ip.h;src/ip/ip.c,tests/ip_test.c,5,ConceptTest.ValidIPAddr:IPAddrTest.MaximumLength:IPAddrTest.LoopBack:IPAddrTest.Any:IPAddrTest.Construction,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-log,log,採用,module_files,include/log.h;src/log/log.c;src/log/appender.c;src/log/field.h;src/log/field.c;src/log/config_init.h;src/log/config_init.c,tests/log_test.c;src/log/field_test.c;src/log/config_init_test.c,9,LoggerTest.SynchronousLog:LoggerTest.AsynchronousLog:LogManagementTest.LoggerManager:LogManagementTest.LevelEnumConversion:LogManagementTest.AppenderTypeEnumConversion:LogFormatterTest.Construction:LogFormatterTest.Format:LogFormatFieldTest.ParsePattern:LoggerConfigurationTest.Construction,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-thread-pool,thread-pool,採用,class_span,include/containers/thread_pool.h;src/containers/thread_pool/thread_pool.c,tests/containers/thread_pool_test.c,1,ThreadPoolTest.Execution,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
Echo-Web-Server,echo-web-server-util,util,採用,module_files,include/util.h;src/util/util.c,tests/util_test.c,9,StringTest.LetterCaseConversion:StringTest.ReplaceString:StringTest.SplitString:StringTest.SplitStringToLines:RAIITest.Destroy:LoadYamlStringTest.RequiredField:YamlNodeTest.ThrowIfFieldIsNotScalar:ConceptTest.Addable:MappedReadOnlyFileTest.Map,63,True,,False,verified replacement locator;fixed scaffold/dependency context;verified Docker image;configure/build/test commands;stage_commands,
